room_id,result_page
861878,1
7388330ha,1
333691,1
319872,1
7160478ha,1
920504,1
4267288ha,1
4267288ha,1
7160441ha,1
4767323ha,1
7388323ha,1
1433059,1
4706726ha,1
7160443ha,1
3660449ha,1
384438,1
988957ha,1
688243,1
622624,1
4781968ha,1
1899471,1
694133,1
785819,1
1006784,1
1269877,1
697200,1
7388327ha,1
326455ha,1
7160445ha,1
960092,1
9165070ha,1
9165071ha,1
9165059ha,1
7160483ha,1
7160442ha,1
655823,1
237611ha,1
9165055ha,1
9165062ha,1
9165077ha,1
9165072ha,1
9165067ha,1
9165073ha,1
9165078ha,1
9165074ha,1
1597579,1
7494151ha,1
9272721ha,1
1884915,1
1875503,1
1693143,2
178806ha,2
3728982ha,2
1827199,2
4290348ha,2
7388326ha,2
1066482,2
928312ha,2
4639060ha,2
1864784,2
4463796ha,2
4961946ha,2
7186080ha,2
1188958,2
505005,2
9251460ha,2
9165054ha,2
887368,2
1293096,2
1050016,2
7160440ha,2
1179869,2
7443310ha,2
9279561ha,2
1757634,2
1196803,2
7160481ha,2
7160469ha,2
9371995ha,2
1169611,2
7160437ha,2
1845679,2
1883930,2
1899947,2
4999603ha,2
1522722,2
1170096,2
587223,2
1727825,2
7160444ha,2
921632ha,2
7160480ha,2
7160482ha,2
7160450ha,2
1399878,2
1386218,2
1814685,2
1310401,2
7412235ha,2
9165066ha,2
3818360ha,3
759189,3
1248151,3
472830,3
1824540,3
1580590,3
9326044ha,3
7388324ha,3
809871,3
509731,3
4064053ha,3
1657808,3
1611497,3
1611268,3
4647389ha,3
1322818,3
1657766,3
3918084ha,3
9290037ha,3
856423,3
1046559,3
7160448ha,3
730401,3